HomeTeam,HomeXG,AwayTeam,AwayXG,Season
Liverpool,2.9,Southampton,1.0,2021-22
Norwich,1.6,Wolves,0.3,2021-22
Brighton,2.1,Leeds,0.6,2021-22
Brentford,1.2,Everton,1.0,2021-22
Leicester,2.1,Watford,2.8,2021-22
Man City,2.1,West Ham,0.2,2021-22
Chelsea,2.7,Man United,0.9,2021-22
Newcastle,1.1,Norwich,1.2,2021-22
Leeds,1.4,Crystal Palace,1.1,2021-22
Southampton,1.5,Leicester,1.5,2021-22
West Ham,1.3,Brighton,1.3,2021-22
Wolves,0.7,Burnley,0.2,2021-22
Watford,1.0,Chelsea,0.9,2021-22
Aston Villa,0.8,Man City,1.0,2021-22
Everton,0.7,Liverpool,2.4,2021-22
Tottenham,1.9,Brentford,0.3,2021-22
Man United,1.9,Arsenal,1.4,2021-22
West Ham,1.8,Chelsea,1.1,2021-22
Newcastle,1.0,Burnley,0.6,2021-22
Southampton,1.6,Brighton,1.6,2021-22
Wolves,0.1,Liverpool,2.7,2021-22
Watford,0.8,Man City,3.1,2021-22
Leeds,1.2,Brentford,1.0,2021-22
Tottenham,1.6,Norwich,1.2,2021-22
Man United,0.9,Crystal Palace,0.5,2021-22
Aston Villa,2.1,Leicester,1.1,2021-22
Everton,0.9,Arsenal,1.0,2021-22
Brentford,1.6,Watford,0.5,2021-22
Man City,3.2,Wolves,0.2,2021-22
Liverpool,2.2,Aston Villa,0.2,2021-22
Arsenal,1.8,Southampton,0.6,2021-22
Chelsea,2.5,Leeds,1.4,2021-22
Norwich,1.2,Man United,2.0,2021-22
Burnley,0.8,West Ham,0.8,2021-22
Leicester,2.6,Newcastle,1.0,2021-22
Crystal Palace,1.8,Everton,1.0,2021-22
Norwich,0.5,Aston Villa,2.0,2021-22
Man City,3.1,Leeds,0.3,2021-22
Brighton,1.2,Wolves,1.0,2021-22
Crystal Palace,1.2,Southampton,0.6,2021-22
Arsenal,2.8,West Ham,0.4,2021-22
Chelsea,2.9,Everton,0.6,2021-22
Liverpool,2.7,Newcastle,0.3,2021-22
Leeds,1.6,Arsenal,3.5,2021-22
Wolves,0.2,Chelsea,0.9,2021-22
Newcastle,0.3,Man City,2.9,2021-22
Tottenham,3.0,Liverpool,1.1,2021-22
West Ham,1.6,Southampton,1.2,2021-22
Man City,3.6,Leicester,2.7,2021-22
Norwich,0.1,Arsenal,2.5,2021-22
Tottenham,2.3,Crystal Palace,0.2,2021-22
Aston Villa,0.4,Chelsea,2.6,2021-22
Brighton,0.8,Brentford,0.7,2021-22
Newcastle,1.3,Man United,1.6,2021-22
Southampton,0.4,Tottenham,2.3,2021-22
Crystal Palace,1.9,Norwich,0.9,2021-22
Watford,1.6,West Ham,3.6,2021-22
Leicester,0.4,Liverpool,2.3,2021-22
Chelsea,0.7,Brighton,0.9,2021-22
Brentford,0.4,Man City,1.1,2021-22
Man United,2.4,Burnley,1.1,2021-22
Arsenal,0.8,Man City,2.0,2021-22
Watford,0.3,Tottenham,2.2,2021-22
Crystal Palace,2.4,West Ham,2.2,2021-22
Leeds,1.9,Burnley,1.0,2021-22
Brentford,0.6,Aston Villa,0.8,2021-22
Everton,1.6,Brighton,1.7,2021-22
Chelsea,1.2,Liverpool,1.3,2021-22
Man United,0.8,Wolves,0.7,2021-22
Southampton,1.4,Brentford,0.5,2021-22
West Ham,2.5,Norwich,0.3,2021-22
Brighton,2.0,Crystal Palace,0.2,2021-22
Man City,1.0,Chelsea,0.3,2021-22
Norwich,1.0,Everton,0.6,2021-22
Newcastle,1.2,Watford,1.4,2021-22
Wolves,2.5,Southampton,0.8,2021-22
Aston Villa,1.9,Man United,1.0,2021-22
West Ham,2.4,Leeds,2.2,2021-22
Liverpool,2.7,Brentford,0.7,2021-22
Brighton,0.7,Chelsea,0.7,2021-22
Leicester,1.2,Tottenham,3.1,2021-22
Brentford,2.3,Man United,2.3,2021-22
Watford,1.2,Norwich,1.1,2021-22
Everton,1.6,Aston Villa,0.8,2021-22
Leeds,0.7,Newcastle,0.9,2021-22
Man United,1.9,West Ham,0.3,2021-22
Brentford,1.1,Wolves,0.2,2021-22
Southampton,0.8,Man City,1.8,2021-22
Crystal Palace,2.2,Liverpool,1.9,2021-22
Arsenal,1.2,Burnley,0.4,2021-22
Leicester,1.4,Brighton,1.1,2021-22
Chelsea,1.2,Tottenham,0.5,2021-22
Burnley,0.6,Watford,0.8,2021-22
West Ham,0.8,Watford,0.3,2021-22
Newcastle,1.9,Everton,0.7,2021-22
Burnley,0.4,Man United,1.8,2021-22
Tottenham,1.4,Southampton,2.2,2021-22
Norwich,0.4,Crystal Palace,1.3,2021-22
Man City,1.9,Brentford,0.4,2021-22
Aston Villa,1.6,Leeds,1.8,2021-22
Liverpool,1.8,Leicester,0.5,2021-22
Wolves,0.8,Arsenal,1.8,2021-22
Man United,2.1,Southampton,0.8,2021-22
Everton,2.7,Leeds,0.3,2021-22
Brentford,1.6,Crystal Palace,0.3,2021-22
Watford,0.5,Brighton,1.6,2021-22
Norwich,0.4,Man City,4.6,2021-22
Newcastle,0.5,Aston Villa,0.6,2021-22
Burnley,1.5,Liverpool,1.7,2021-22
Tottenham,1.2,Wolves,1.3,2021-22
Leicester,1.4,West Ham,1.1,2021-22
Man United,1.7,Brighton,0.7,2021-22
West Ham,0.6,Newcastle,0.8,2021-22
Aston Villa,1.3,Watford,1.2,2021-22
Arsenal,1.7,Brentford,0.6,2021-22
Southampton,2.5,Everton,0.3,2021-22
Liverpool,3.6,Norwich,0.6,2021-22
Brighton,0.6,Burnley,0.7,2021-22
Crystal Palace,0.5,Chelsea,0.9,2021-22
Man City,2.1,Tottenham,1.4,2021-22
Leeds,1.8,Man United,2.2,2021-22
Wolves,0.5,Leicester,1.7,2021-22
Burnley,0.9,Tottenham,0.7,2021-22
Watford,1.4,Crystal Palace,1.1,2021-22
Liverpool,5.9,Leeds,0.2,2021-22
Arsenal,3.1,Wolves,1.0,2021-22
Southampton,2.6,Norwich,0.6,2021-22
Leeds,1.5,Tottenham,1.9,2021-22
Crystal Palace,1.0,Burnley,0.2,2021-22
Man United,2.8,Watford,0.6,2021-22
Brighton,0.7,Aston Villa,1.0,2021-22
Brentford,0.4,Newcastle,2.7,2021-22
Everton,0.5,Man City,1.8,2021-22
West Ham,1.8,Wolves,0.7,2021-22
Burnley,0.9,Leicester,1.5,2021-22
Leicester,0.4,Leeds,1.7,2021-22
Newcastle,1.7,Brighton,1.5,2021-22
Aston Villa,2.5,Southampton,1.1,2021-22
Burnley,0.7,Chelsea,2.3,2021-22
Wolves,0.7,Crystal Palace,2.7,2021-22
Norwich,1.0,Brentford,2.0,2021-22
Liverpool,2.4,West Ham,1.3,2021-22
Watford,1.0,Arsenal,1.0,2021-22
Man City,2.7,Man United,0.5,2021-22
Tottenham,2.5,Everton,0.2,2021-22
Wolves,0.7,Watford,0.6,2021-22
Southampton,1.1,Newcastle,0.6,2021-22
Norwich,1.0,Chelsea,1.8,2021-22
Leeds,0.2,Aston Villa,1.5,2021-22
Brighton,0.5,Liverpool,2.2,2021-22
Brentford,1.9,Burnley,0.7,2021-22
Man United,1.0,Tottenham,1.5,2021-22
Chelsea,1.1,Newcastle,0.3,2021-22
Southampton,1.4,Watford,1.7,2021-22
West Ham,1.2,Aston Villa,1.1,2021-22
Everton,0.4,Wolves,0.8,2021-22
Leeds,2.5,Norwich,1.5,2021-22
Arsenal,2.4,Leicester,0.4,2021-22
Crystal Palace,0.6,Man City,2.8,2021-22
Brighton,0.7,Tottenham,2.2,2021-22
Arsenal,0.5,Liverpool,0.8,2021-22
Everton,0.7,Newcastle,0.9,2021-22
Wolves,1.2,Leeds,2.0,2021-22
Aston Villa,0.5,Arsenal,1.3,2021-22
Leicester,1.0,Brentford,1.3,2021-22
Tottenham,3.0,West Ham,0.6,2021-22
Liverpool,2.2,Watford,0.6,2021-22
Wolves,1.3,Aston Villa,2.1,2021-22
Leeds,1.2,Southampton,1.4,2021-22
Chelsea,1.3,Brentford,1.8,2021-22
Burnley,0.1,Man City,1.8,2021-22
Brighton,2.8,Norwich,0.4,2021-22
Man United,0.9,Leicester,0.8,2021-22
West Ham,1.2,Everton,0.7,2021-22
Tottenham,3.1,Newcastle,0.5,2021-22
Crystal Palace,1.5,Arsenal,0.8,2021-22
Burnley,2.0,Everton,2.4,2021-22
Newcastle,1.5,Wolves,0.4,2021-22
Everton,0.4,Man United,0.8,2021-22
Arsenal,1.9,Brighton,0.6,2021-22
Southampton,0.5,Chelsea,4.2,2021-22
Watford,1.1,Leeds,0.7,2021-22
Aston Villa,1.6,Tottenham,1.1,2021-22
Brentford,1.4,West Ham,0.3,2021-22
Leicester,1.0,Crystal Palace,1.4,2021-22
Norwich,1.7,Burnley,1.7,2021-22
Man City,1.3,Liverpool,1.3,2021-22
Tottenham,0.5,Brighton,0.6,2021-22
Man United,1.9,Norwich,1.5,2021-22
Watford,1.7,Brentford,1.9,2021-22
Southampton,0.8,Arsenal,1.7,2021-22
Newcastle,1.8,Leicester,0.6,2021-22
West Ham,2.2,Burnley,1.8,2021-22
Liverpool,2.0,Man United,0.1,2021-22
Everton,1.8,Leicester,0.9,2021-22
Chelsea,0.7,Arsenal,2.0,2021-22
Newcastle,0.9,Crystal Palace,0.5,2021-22
Man City,1.3,Brighton,0.2,2021-22
Burnley,1.5,Southampton,0.9,2021-22
Arsenal,2.3,Man United,1.8,2021-22
Leicester,0.3,Aston Villa,0.9,2021-22
Man City,3.6,Watford,0.5,2021-22
Norwich,0.6,Newcastle,1.9,2021-22
Brentford,0.9,Tottenham,0.6,2021-22
Brighton,1.7,Southampton,0.9,2021-22
Burnley,1.4,Wolves,0.6,2021-22
Chelsea,3.0,West Ham,0.5,2021-22
Liverpool,1.7,Everton,0.4,2021-22
Crystal Palace,1.9,Leeds,0.5,2021-22
Man United,0.5,Chelsea,1.9,2021-22
Newcastle,0.2,Liverpool,2.3,2021-22
Watford,1.0,Burnley,1.6,2021-22
Wolves,0.7,Brighton,2.6,2021-22
Aston Villa,1.8,Norwich,0.5,2021-22
Southampton,0.6,Crystal Palace,1.1,2021-22
Leeds,1.3,Man City,2.4,2021-22
Tottenham,1.2,Leicester,0.5,2021-22
Everton,0.8,Chelsea,0.8,2021-22
West Ham,0.5,Arsenal,0.9,2021-22
Man United,2.0,Brentford,0.6,2021-22
Crystal Palace,2.2,Watford,0.4,2021-22
Brentford,2.6,Southampton,1.4,2021-22
Chelsea,1.7,Wolves,2.0,2021-22
Burnley,1.9,Aston Villa,2.1,2021-22
Brighton,2.3,Man United,0.9,2021-22
Liverpool,1.3,Tottenham,0.9,2021-22
Leicester,1.5,Everton,1.1,2021-22
Norwich,0.8,West Ham,3.0,2021-22
Arsenal,2.0,Leeds,0.3,2021-22
Man City,3.1,Newcastle,0.8,2021-22
Aston Villa,1.4,Liverpool,1.8,2021-22
Leeds,0.4,Chelsea,1.3,2021-22
Leicester,2.0,Norwich,1.1,2021-22
Watford,0.3,Everton,0.7,2021-22
Wolves,0.5,Man City,2.3,2021-22
Tottenham,2.7,Arsenal,0.5,2021-22
Tottenham,2.2,Burnley,0.7,2021-22
Leeds,1.6,Brighton,2.2,2021-22
Watford,1.4,Leicester,2.5,2021-22
Wolves,0.9,Norwich,1.1,2021-22
Aston Villa,1.0,Crystal Palace,1.4,2021-22
West Ham,1.1,Man City,2.4,2021-22
Everton,2.1,Brentford,1.4,2021-22
Newcastle,1.6,Arsenal,0.6,2021-22
Southampton,0.1,Liverpool,1.3,2021-22
Everton,0.8,Crystal Palace,1.1,2021-22
Aston Villa,1.5,Burnley,1.6,2021-22
Chelsea,1.6,Leicester,0.1,2021-22
Brentford,0.8,Leeds,1.3,2021-22
Leicester,3.4,Southampton,1.1,2021-22
Crystal Palace,0.6,Man United,0.7,2021-22
Arsenal,4.2,Everton,1.1,2021-22
Brighton,1.6,West Ham,0.2,2021-22
Norwich,0.5,Tottenham,3.4,2021-22
Man City,3.4,Aston Villa,0.2,2021-22
Liverpool,2.7,Wolves,1.3,2021-22
Burnley,1.6,Newcastle,1.8,2021-22
Chelsea,2.2,Watford,0.6,2021-22
Fulham,0.1,Arsenal,1.9,2020-21
Crystal Palace,1.1,Southampton,0.9,2020-21
Liverpool,2.7,Leeds,0.3,2020-21
West Ham,1.0,Newcastle,1.6,2020-21
West Brom,0.4,Leicester,2.8,2020-21
Tottenham,1.1,Everton,1.2,2020-21
Sheffield United,1.0,Wolves,1.4,2020-21
Brighton,1.1,Chelsea,1.2,2020-21
Everton,3.9,West Brom,0.3,2020-21
Leeds,1.4,Fulham,1.7,2020-21
Man United,1.2,Crystal Palace,1.6,2020-21
Arsenal,1.1,West Ham,2.0,2020-21
Southampton,2.0,Tottenham,2.1,2020-21
Newcastle,0.5,Brighton,1.8,2020-21
Chelsea,0.9,Liverpool,2.1,2020-21
Leicester,1.2,Burnley,1.4,2020-21
Aston Villa,1.0,Sheffield United,0.9,2020-21
Wolves,0.6,Man City,1.9,2020-21
Brighton,2.5,Man United,1.5,2020-21
Crystal Palace,0.4,Everton,1.9,2020-21
West Brom,0.6,Chelsea,2.0,2020-21
Burnley,0.5,Southampton,0.6,2020-21
Sheffield United,1.4,Leeds,1.2,2020-21
Tottenham,2.9,Newcastle,1.0,2020-21
Man City,0.9,Leicester,2.9,2020-21
West Ham,2.4,Wolves,0.5,2020-21
Fulham,0.7,Aston Villa,1.4,2020-21
Liverpool,2.7,Arsenal,1.3,2020-21
Chelsea,2.7,Crystal Palace,0.2,2020-21
Everton,1.6,Brighton,1.3,2020-21
Leeds,2.4,Man City,1.2,2020-21
Newcastle,1.8,Burnley,0.4,2020-21
Southampton,1.2,West Brom,0.2,2020-21
Leicester,0.6,West Ham,2.0,2020-21
Arsenal,0.6,Sheffield United,0.2,2020-21
Wolves,1.2,Fulham,0.9,2020-21
Man United,0.9,Tottenham,3.4,2020-21
Aston Villa,2.7,Liverpool,1.8,2020-21
Everton,1.2,Liverpool,2.6,2020-21
Chelsea,1.8,Southampton,1.9,2020-21
Man City,1.3,Arsenal,0.9,2020-21
Newcastle,0.9,Man United,2.3,2020-21
Sheffield United,1.7,Fulham,1.5,2020-21
Crystal Palace,0.8,Brighton,1.7,2020-21
Tottenham,1.7,West Ham,1.9,2020-21
Leicester,0.6,Aston Villa,0.7,2020-21
West Brom,0.8,Burnley,1.1,2020-21
Leeds,1.0,Wolves,0.4,2020-21
Aston Villa,1.4,Leeds,2.7,2020-21
West Ham,0.3,Man City,1.0,2020-21
Fulham,1.1,Crystal Palace,2.5,2020-21
Man United,0.6,Chelsea,0.2,2020-21
Liverpool,2.3,Sheffield United,1.6,2020-21
Southampton,0.7,Everton,0.4,2020-21
Wolves,0.7,Newcastle,0.3,2020-21
Arsenal,0.7,Leicester,0.7,2020-21
Brighton,0.5,West Brom,0.4,2020-21
Burnley,1.0,Tottenham,0.6,2020-21
Wolves,1.3,Crystal Palace,0.7,2020-21
Sheffield United,0.5,Man City,1.6,2020-21
Burnley,0.5,Chelsea,0.9,2020-21
Liverpool,1.7,West Ham,0.3,2020-21
Aston Villa,1.9,Southampton,0.7,2020-21
Newcastle,2.9,Everton,1.5,2020-21
Man United,0.4,Arsenal,1.0,2020-21
Tottenham,1.7,Brighton,0.3,2020-21
Fulham,1.5,West Brom,0.5,2020-21
Leeds,2.1,Leicester,2.9,2020-21
Brighton,1.5,Burnley,0.5,2020-21
Southampton,0.7,Newcastle,0.3,2020-21
Everton,0.4,Man United,1.5,2020-21
Crystal Palace,0.9,Leeds,0.8,2020-21
Chelsea,2.2,Sheffield United,0.4,2020-21
West Ham,1.3,Fulham,1.7,2020-21
West Brom,0.8,Tottenham,1.9,2020-21
Leicester,2.0,Wolves,0.8,2020-21
Man City,1.4,Liverpool,1.2,2020-21
Arsenal,1.5,Aston Villa,1.8,2020-21
Newcastle,0.3,Chelsea,1.5,2020-21
Aston Villa,1.5,Brighton,1.4,2020-21
Tottenham,0.7,Man City,1.4,2020-21
Man United,2.4,West Brom,0.6,2020-21
Fulham,1.9,Everton,2.0,2020-21
Sheffield United,0.9,West Ham,2.1,2020-21
Leeds,1.8,Arsenal,0.9,2020-21
Liverpool,3.1,Leicester,1.6,2020-21
Burnley,1.5,Crystal Palace,1.5,2020-21
Wolves,1.5,Southampton,1.0,2020-21
Crystal Palace,0.6,Newcastle,1.3,2020-21
Brighton,2.3,Liverpool,0.2,2020-21
Man City,1.7,Burnley,0.5,2020-21
Everton,1.2,Leeds,2.9,2020-21
West Brom,1.2,Sheffield United,2.9,2020-21
Southampton,0.5,Man United,2.1,2020-21
Chelsea,0.8,Tottenham,0.2,2020-21
Arsenal,1.5,Wolves,1.8,2020-21
Leicester,1.2,Fulham,2.2,2020-21
West Ham,0.4,Aston Villa,2.5,2020-21
Burnley,0.8,Everton,2.2,2020-21
Man City,2.9,Fulham,0.3,2020-21
West Ham,2.0,Man United,1.7,2020-21
Chelsea,4.1,Leeds,0.8,2020-21
West Brom,0.7,Crystal Palace,1.6,2020-21
Sheffield United,0.2,Leicester,1.4,2020-21
Tottenham,0.3,Arsenal,0.6,2020-21
Liverpool,1.2,Wolves,0.4,2020-21
Brighton,1.9,Southampton,1.4,2020-21
Leeds,1.6,West Ham,1.3,2020-21
Wolves,1.1,Aston Villa,1.4,2020-21
Newcastle,0.8,West Brom,0.6,2020-21
Man United,0.6,Man City,1.3,2020-21
Everton,1.2,Chelsea,0.7,2020-21
Southampton,2.0,Sheffield United,0.3,2020-21
Crystal Palace,1.6,Tottenham,0.9,2020-21
Fulham,1.5,Liverpool,1.8,2020-21
Leicester,1.5,Brighton,0.9,2020-21
Arsenal,1.6,Burnley,1.4,2020-21
Wolves,0.5,Chelsea,1.0,2020-21
Man City,2.2,West Brom,0.4,2020-21
Arsenal,0.6,Southampton,1.2,2020-21
Leicester,0.8,Everton,1.4,2020-21
Leeds,2.7,Newcastle,1.5,2020-21
Liverpool,1.0,Tottenham,1.1,2020-21
West Ham,0.4,Crystal Palace,1.1,2020-21
Fulham,1.0,Brighton,0.5,2020-21
Aston Villa,1.5,Burnley,0.3,2020-21
Sheffield United,1.5,Man United,1.9,2020-21
Crystal Palace,0.3,Liverpool,2.5,2020-21
Southampton,0.7,Man City,0.9,2020-21
Everton,0.6,Arsenal,1.4,2020-21
Newcastle,1.4,Fulham,1.0,2020-21
Brighton,2.8,Sheffield United,0.5,2020-21
Tottenham,0.7,Leicester,1.7,2020-21
Man United,3.6,Leeds,1.8,2020-21
West Brom,0.0,Aston Villa,2.4,2020-21
Burnley,1.7,Wolves,1.5,2020-21
Chelsea,2.0,West Ham,0.4,2020-21
Leicester,0.9,Man United,1.7,2020-21
Aston Villa,3.9,Crystal Palace,0.9,2020-21
Fulham,0.7,Southampton,0.2,2020-21
Arsenal,2.0,Chelsea,2.6,2020-21
Sheffield United,1.4,Everton,0.7,2020-21
Man City,3.0,Newcastle,0.3,2020-21
Leeds,1.9,Burnley,1.5,2020-21
West Ham,1.3,Brighton,1.1,2020-21
Liverpool,1.5,West Brom,0.6,2020-21
Wolves,0.9,Tottenham,0.4,2020-21
Crystal Palace,0.5,Leicester,1.9,2020-21
Chelsea,1.7,Aston Villa,0.7,2020-21
West Brom,0.5,Leeds,1.2,2020-21
Southampton,0.6,West Ham,1.2,2020-21
Burnley,1.0,Sheffield United,0.7,2020-21
Brighton,0.8,Arsenal,1.1,2020-21
Man United,1.5,Wolves,0.5,2020-21
Newcastle,0.5,Liverpool,1.4,2020-21
Everton,0.4,West Ham,1.3,2020-21
Man United,2.1,Aston Villa,1.4,2020-21
Tottenham,2.6,Leeds,1.1,2020-21
Crystal Palace,0.6,Sheffield United,0.4,2020-21
Brighton,2.2,Wolves,1.6,2020-21
West Brom,1.0,Arsenal,3.7,2020-21
Newcastle,0.5,Leicester,0.6,2020-21
Chelsea,0.8,Man City,2.7,2020-21
Southampton,0.4,Liverpool,1.5,2020-21
Sheffield United,2.1,Newcastle,0.6,2020-21
Burnley,0.9,Man United,1.2,2020-21
Wolves,0.7,Everton,0.6,2020-21
Man City,2.0,Brighton,0.2,2020-21
Tottenham,2.4,Fulham,1.1,2020-21
Arsenal,0.4,Crystal Palace,0.8,2020-21
Wolves,1.5,West Brom,2.4,2020-21
West Ham,1.7,Burnley,0.5,2020-21
Leeds,0.3,Brighton,1.4,2020-21
Fulham,0.7,Chelsea,1.6,2020-21
Leicester,2.2,Southampton,0.6,2020-21
Sheffield United,0.9,Tottenham,1.0,2020-21
Liverpool,1.2,Man United,1.1,2020-21
Man City,0.7,Crystal Palace,0.1,2020-21
Arsenal,2.4,Newcastle,0.2,2020-21
West Ham,2.0,West Brom,0.5,2020-21
Leicester,1.4,Chelsea,0.7,2020-21
Man City,3.4,Aston Villa,0.6,2020-21
Fulham,0.9,Man United,1.7,2020-21
Liverpool,1.6,Burnley,1.1,2020-21
Aston Villa,2.3,Newcastle,0.5,2020-21
Newcastle,1.4,Leeds,0.7,2020-21
Crystal Palace,0.7,West Ham,2.8,2020-21
West Brom,0.5,Man City,1.8,2020-21
Southampton,0.8,Arsenal,2.2,2020-21
Chelsea,0.7,Wolves,0.5,2020-21
Burnley,0.5,Aston Villa,2.2,2020-21
Brighton,1.8,Fulham,0.5,2020-21
Everton,0.5,Leicester,1.2,2020-21
Man United,1.1,Sheffield United,1.0,2020-21
Tottenham,0.1,Liverpool,2.5,2020-21
Everton,0.8,Newcastle,1.7,2020-21
Crystal Palace,1.4,Wolves,0.4,2020-21
Man City,1.5,Sheffield United,0.2,2020-21
West Brom,1.0,Fulham,1.3,2020-21
Arsenal,0.9,Man United,1.6,2020-21
Southampton,1.9,Aston Villa,0.6,2020-21
Chelsea,1.2,Burnley,0.2,2020-21
Leicester,1.8,Leeds,2.1,2020-21
West Ham,0.8,Liverpool,2.0,2020-21
Brighton,1.6,Tottenham,0.4,2020-21
Sheffield United,1.3,West Brom,1.6,2020-21
Wolves,1.5,Arsenal,0.8,2020-21
Man United,4.7,Southampton,0.5,2020-21
Newcastle,1.9,Crystal Palace,0.7,2020-21
Burnley,0.1,Man City,2.0,2020-21
Fulham,0.6,Leicester,1.4,2020-21
Leeds,1.3,Everton,1.6,2020-21
Liverpool,1.0,Brighton,1.3,2020-21
Aston Villa,0.7,West Ham,1.7,2020-21
Tottenham,0.6,Chelsea,1.6,2020-21
Aston Villa,1.2,Arsenal,0.8,2020-21
Burnley,1.8,Brighton,0.5,2020-21
Newcastle,0.7,Southampton,1.3,2020-21
Fulham,1.5,West Ham,1.0,2020-21
Man United,1.8,Everton,1.5,2020-21
Tottenham,1.5,West Brom,0.6,2020-21
Wolves,1.1,Leicester,0.8,2020-21
Liverpool,1.2,Man City,3.5,2020-21
Sheffield United,0.6,Chelsea,1.6,2020-21
Leeds,1.9,Crystal Palace,0.4,2020-21
Leicester,1.9,Liverpool,1.7,2020-21
Crystal Palace,0.5,Burnley,1.4,2020-21
Man City,2.2,Tottenham,0.3,2020-21
Brighton,2.2,Aston Villa,0.1,2020-21
Southampton,0.8,Wolves,1.1,2020-21
West Brom,1.0,Man United,0.5,2020-21
Arsenal,2.3,Leeds,0.9,2020-21
Everton,0.3,Fulham,2.5,2020-21
West Ham,1.9,Sheffield United,0.7,2020-21
Chelsea,2.2,Newcastle,0.6,2020-21
Burnley,0.9,Fulham,0.5,2020-21
Everton,1.0,Man City,1.0,2020-21
Wolves,0.6,Leeds,1.7,2020-21
Southampton,0.6,Chelsea,1.2,2020-21
Burnley,0.5,West Brom,1.6,2020-21
Liverpool,1.4,Everton,1.6,2020-21
Fulham,1.2,Sheffield United,0.9,2020-21
West Ham,1.1,Tottenham,1.1,2020-21
Aston Villa,1.4,Leicester,1.1,2020-21
Arsenal,0.3,Man City,1.8,2020-21
Man United,1.7,Newcastle,0.4,2020-21
Brighton,2.4,Crystal Palace,0.2,2020-21
Leeds,1.3,Southampton,0.9,2020-21
Man City,0.5,West Ham,1.5,2020-21
West Brom,0.8,Brighton,2.9,2020-21
Leeds,0.9,Aston Villa,0.7,2020-21
Newcastle,1.7,Wolves,1.1,2020-21
Crystal Palace,0.1,Fulham,1.4,2020-21
Leicester,0.4,Arsenal,2.3,2020-21
Tottenham,2.1,Burnley,0.7,2020-21
Chelsea,1.1,Man United,0.4,2020-21
Sheffield United,0.7,Liverpool,2.7,2020-21
Everton,1.2,Southampton,0.6,2020-21
Man City,3.3,Wolves,0.3,2020-21
Sheffield United,0.9,Aston Villa,2.3,2020-21
Burnley,1.8,Leicester,1.2,2020-21
Crystal Palace,0.9,Man United,0.9,2020-21
West Brom,1.0,Everton,1.0,2020-21
Fulham,0.7,Tottenham,1.6,2020-21
Liverpool,0.3,Chelsea,1.0,2020-21
Burnley,1.1,Arsenal,2.5,2020-21
Sheffield United,0.7,Southampton,1.9,2020-21
Aston Villa,0.6,Wolves,1.6,2020-21
Brighton,0.8,Leicester,0.9,2020-21
West Brom,2.0,Newcastle,0.5,2020-21
Liverpool,0.9,Fulham,1.3,2020-21
Man City,1.3,Man United,1.7,2020-21
Tottenham,2.7,Crystal Palace,0.5,2020-21
Chelsea,2.4,Everton,0.3,2020-21
West Ham,1.8,Leeds,1.4,2020-21
Man City,2.6,Southampton,1.6,2020-21
Newcastle,1.5,Aston Villa,0.9,2020-21
Leeds,0.4,Chelsea,1.0,2020-21
Crystal Palace,1.2,West Brom,0.8,2020-21
Everton,1.5,Burnley,0.8,2020-21
Fulham,0.3,Man City,2.2,2020-21
Southampton,0.6,Brighton,0.8,2020-21
Leicester,4.0,Sheffield United,0.1,2020-21
Arsenal,1.7,Tottenham,0.4,2020-21
Man United,1.5,West Ham,0.6,2020-21
Wolves,1.1,Liverpool,0.9,2020-21
Fulham,1.6,Leeds,1.3,2020-21
Brighton,0.9,Newcastle,0.1,2020-21
West Ham,2.4,Arsenal,1.4,2020-21
Aston Villa,0.4,Tottenham,1.8,2020-21
Chelsea,2.1,West Brom,1.6,2020-21
Leeds,2.4,Sheffield United,1.1,2020-21
Leicester,0.3,Man City,1.4,2020-21
Arsenal,0.1,Liverpool,2.4,2020-21
Southampton,2.2,Burnley,1.5,2020-21
Newcastle,3.4,Tottenham,2.7,2020-21
Aston Villa,1.5,Fulham,1.0,2020-21
Man United,1.5,Brighton,1.2,2020-21
Everton,2.5,Crystal Palace,0.7,2020-21
Wolves,2.1,West Ham,1.3,2020-21
Fulham,0.9,Wolves,0.5,2020-21
Man City,2.1,Leeds,0.1,2020-21
Liverpool,2.3,Aston Villa,0.5,2020-21
Crystal Palace,0.4,Chelsea,3.1,2020-21
Burnley,2.0,Newcastle,1.2,2020-21
West Ham,0.8,Leicester,0.9,2020-21
Tottenham,0.9,Man United,2.1,2020-21
Sheffield United,0.3,Arsenal,1.7,2020-21
West Brom,3.0,Southampton,1.5,2020-21
Brighton,1.2,Everton,0.4,2020-21
Everton,1.8,Tottenham,1.4,2020-21
Newcastle,2.2,West Ham,1.9,2020-21
Wolves,1.1,Sheffield United,0.5,2020-21
Arsenal,2.7,Fulham,0.9,2020-21
Man United,2.5,Burnley,0.9,2020-21
Leeds,2.3,Liverpool,1.4,2020-21
Chelsea,0.7,Brighton,0.5,2020-21
Tottenham,1.4,Southampton,0.8,2020-21
Aston Villa,0.7,Man City,1.2,2020-21
Leicester,2.1,West Brom,0.5,2020-21
Arsenal,0.8,Everton,0.5,2020-21
Liverpool,2.4,Newcastle,1.0,2020-21
West Ham,0.4,Chelsea,2.5,2020-21
Sheffield United,0.7,Brighton,2.0,2020-21
Wolves,0.4,Burnley,2.0,2020-21
Leeds,0.3,Man United,1.2,2020-21
Aston Villa,3.2,West Brom,1.5,2020-21
Leicester,1.5,Crystal Palace,0.7,2020-21
Southampton,0.9,Leicester,1.9,2020-21
Crystal Palace,0.9,Man City,1.7,2020-21
