HT_Elo,AT_Elo,HT_RecentPoints,HT_HomeRecentPoints,HT_AwayRecentPoints,HT_TotalPoints,AT_RecentPoints,AT_HomeRecentPoints,AT_AwayRecentPoints,AT_TotalPoints,HT_RecentGoals,HT_HomeRecentGoals,HT_AwayRecentGoals,HT_RecentGD,HT_HomeRecentGD,HT_AwayRecentGD,HT_TotalGoals,HT_TotalGD,AT_RecentGoals,AT_HomeRecentGoals,AT_AwayRecentGoals,AT_RecentGD,AT_HomeRecentGD,AT_AwayRecentGD,AT_TotalGoals,AT_TotalGD,HT_RecentShots,HT_HomeRecentShots,HT_AwayRecentShots,HT_RecentSOT,HT_HomeRecentSOT,HT_AwayRecentSOT,HT_TotalShots,HT_TotalSOT,AT_RecentShots,AT_HomeRecentShots,AT_AwayRecentShots,AT_RecentSOT,AT_HomeRecentSOT,AT_AwayRecentSOT,AT_TotalShots,AT_TotalSOT,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR,EloDiff,PointsDiff,RecentPointsDiff,HomeAwayPointsDiff,GoalsDiff,RecentGoalsDiff,HomeAwayGoalsDiff,GDDiff,RecentGDDiff,HomeAwayGDDiff,ShotsDiff,RecentShotsDiff,HomeAwayShotsDiff,SOTDiff,RecentSOTDiff,HomeAwaySOTDiff,ARDiff,MRDiff,DRDiff,ORDiff,B365H,B365D,B365A,Season,FTR
1000.366544652579,990.2324603885564,1.6,,,8,1.0,,,6,3.4,,,1.4,,,11.0,2.0,4.4,,,-1.2,,,12.0,-2.0,23.4,,,7.8,,,74.0,27.0,26.8,,,9.4,,,77.0,27.0,85,80,75,81,78,78,78,78,10.13408426402259,2,0.6000000000000001,,-1.0,-1.0000000000000004,,4.0,2.5999999999999996,,-3.0,-3.400000000000002,,0.0,-1.6000000000000005,,7,2,-3,3,1.67,4.2,5.25,2014-15,H
998.1200228164371,1020.240106871885,1.0,,,8,2.0,,,10,2.8,,,0.0,,,8.0,1.0,2.2,,,-0.2,,,7.0,3.0,22.2,,,7.4,,,63.0,21.0,21.4,,,8.4,,,68.0,29.0,78,77,77,78,77,75,76,76,-22.120084055447933,-2,-1.0,,1.0,0.5999999999999996,,-2.0,0.2,,-5.0,0.8000000000000007,,-8.0,-1.0,,1,2,1,2,2.2,3.5,3.5,2014-15,H
990.0096293962729,972.2270636759711,1.4,,,7,0.8,,,4,3.8,,,-0.2,,,10.0,0.0,3.2,,,2.0,,,4.0,-9.0,24.0,,,10.2,,,81.0,29.0,29.4,,,9.6,,,86.0,21.0,75,74,72,75,74,74,71,75,17.782565720301818,3,0.5999999999999999,,6.0,0.5999999999999996,,9.0,-2.2,,-5.0,-5.399999999999999,,8.0,0.5999999999999996,,1,0,1,0,1.91,3.6,4.5,2014-15,H
1009.6709324104377,999.5630919896354,1.2,,,10,1.0,,,8,2.6,,,-0.2,,,11.0,2.0,3.4,,,0.2,,,9.0,0.0,23.0,,,8.2,,,101.0,30.0,26.2,,,7.4,,,65.0,22.0,80,80,77,80,75,73,70,73,10.10784042080229,2,0.19999999999999996,,2.0,-0.7999999999999998,,2.0,-0.4,,36.0,-3.1999999999999993,,8.0,0.7999999999999989,,5,7,7,7,1.4,5.0,9.0,2014-15,D
972.2110648912336,999.498252473767,0.8,,,4,1.4,,,10,1.6,,,0.8,,,3.0,-7.0,3.4,,,0.6,,,12.0,2.0,25.4,,,8.2,,,78.0,21.0,23.0,,,9.0,,,92.0,32.0,71,70,71,70,75,74,72,75,-27.28718758253342,-6,-0.5999999999999999,,-9.0,-1.7999999999999998,,-9.0,0.20000000000000007,,-14.0,2.3999999999999986,,-11.0,-0.8000000000000007,,-4,-4,-1,-5,2.8,3.4,2.7,2014-15,A
990.8666469204235,1056.6569464979696,1.4,,,7,2.6,,,19,2.6,,,0.2,,,7.0,-2.0,4.4,,,0.8,,,21.0,14.0,25.4,,,7.6,,,64.0,20.0,26.0,,,8.8,,,107.0,43.0,73,73,73,73,82,82,81,83,-65.79029957754608,-12,-1.2000000000000002,,-14.0,-1.8000000000000003,,-16.0,-0.6000000000000001,,-43.0,-0.6000000000000014,,-23.0,-1.200000000000001,,-9,-9,-8,-10,8.5,4.75,1.44,2014-15,A
980.5240600888835,999.6901202663737,0.8,,,6,1.2,,,9,4.2,,,-1.0,,,13.0,-3.0,2.4,,,-0.4,,,4.0,-5.0,27.6,,,10.4,,,87.0,33.0,23.0,,,6.2,,,42.0,11.0,78,78,78,78,72,74,74,75,-19.16606017749018,-3,-0.3999999999999999,,9.0,1.8000000000000003,,2.0,-0.6,,45.0,4.600000000000001,,22.0,4.2,,6,4,4,3,1.6,4.0,6.5,2014-15,H
1021.0178154749567,1008.7558311733013,1.6,,,11,1.0,,,11,3.0,,,-1.0,,,12.0,5.0,2.2,,,-0.6,,,9.0,2.0,27.6,,,8.6,,,103.0,31.0,20.0,,,7.6,,,72.0,25.0,83,82,81,82,78,77,77,78,12.261984301655389,0,0.6000000000000001,,3.0,0.7999999999999998,,3.0,-0.4,,31.0,7.600000000000001,,6.0,1.0,,5,5,4,4,1.45,4.75,8.0,2014-15,H
1009.6042985150208,1000.0306080120341,2.0,,,10,1.2,,,8,1.8,,,-0.2,,,7.0,2.0,1.8,,,0.6,,,8.0,1.0,19.8,,,7.6,,,75.0,32.0,25.4,,,8.4,,,77.0,24.0,77,75,76,76,76,73,72,74,9.573690502986665,2,0.8,,-1.0,0.0,,1.0,-0.8,,-2.0,-5.599999999999998,,8.0,-0.8000000000000007,,1,2,4,2,1.57,4.0,7.0,2014-15,H
962.7384405984769,1000.55760094877,0.8,,,4,1.4,,,10,2.8,,,1.6,,,4.0,-11.0,2.6,,,-0.2,,,10.0,0.0,28.2,,,9.6,,,96.0,24.0,26.6,,,9.4,,,112.0,37.0,74,74,71,75,79,78,75,79,-37.81916035029303,-6,-0.5999999999999999,,-6.0,0.19999999999999973,,-11.0,1.8,,-16.0,1.5999999999999979,,-13.0,0.1999999999999993,,-5,-4,-4,-4,6.0,4.2,1.6,2014-15,A
980.549080781663,1007.7979698079786,1.0,,,5,1.4,,,10,2.4,,,0.0,,,5.0,-3.0,2.2,,,1.0,,,8.0,2.0,26.2,,,6.2,,,81.0,20.0,26.2,,,7.4,,,53.0,22.0,76,75,74,76,77,74,74,75,-27.248889026315624,-5,-0.3999999999999999,,-3.0,0.19999999999999973,,-5.0,-1.0,,28.0,0.0,,-2.0,-1.2000000000000002,,-1,1,0,1,2.5,3.3,3.1,2014-15,H
990.5075132131254,1010.0749449522519,1.2,,,8,2.0,,,11,2.6,,,1.0,,,8.0,-1.0,3.6,,,1.6,,,13.0,3.0,25.4,,,7.8,,,83.0,24.0,24.2,,,8.6,,,89.0,31.0,74,74,71,74,85,80,75,81,-19.567431739126505,-3,-0.8,,-5.0,-1.0,,-4.0,-0.6000000000000001,,-6.0,1.1999999999999993,,-7.0,-0.7999999999999998,,-11,-6,-4,-7,5.0,4.0,1.75,2014-15,D
1009.4733569721146,999.8539369720586,1.4,,,13,1.0,,,9,3.0,,,0.2,,,13.0,1.0,3.8,,,0.2,,,11.0,0.0,27.8,,,9.8,,,127.0,42.0,26.4,,,9.0,,,69.0,26.0,79,78,75,79,75,73,70,73,9.619420000056039,4,0.3999999999999999,,2.0,-0.7999999999999998,,1.0,0.0,,58.0,1.4000000000000021,,16.0,0.8000000000000007,,4,5,5,6,1.44,4.75,8.0,2014-15,D
1019.3288152728178,991.3317627392387,2.4,,,13,1.4,,,8,3.4,,,1.4,,,15.0,10.0,2.6,,,0.2,,,7.0,-2.0,23.0,,,9.2,,,95.0,43.0,26.6,,,6.8,,,98.0,23.0,77,75,76,76,76,75,74,76,27.997052533579108,5,1.0,,8.0,0.7999999999999998,,12.0,1.2,,-3.0,-3.6000000000000014,,20.0,2.3999999999999995,,1,0,2,0,1.65,4.0,6.0,2014-15,H
990.3060912542371,1009.3800874280145,1.2,,,8,1.2,,,11,3.2,,,2.0,,,8.0,-7.0,3.0,,,-0.2,,,13.0,2.0,25.0,,,8.6,,,89.0,25.0,22.2,,,9.0,,,126.0,39.0,76,73,72,74,80,80,77,80,-19.073996173777346,-3,0.0,,-5.0,0.20000000000000018,,-9.0,2.2,,-37.0,2.8000000000000007,,-14.0,-0.40000000000000036,,-4,-7,-5,-6,5.5,3.8,1.73,2014-15,A
997.0152878504028,999.6847809836974,0.8,,,10,1.6,,,9,2.6,,,1.0,,,9.0,1.0,3.4,,,0.6,,,11.0,-1.0,27.8,,,7.8,,,66.0,27.0,28.8,,,8.2,,,71.0,23.0,77,74,74,75,71,72,68,72,-2.669493133294509,1,-0.8,,-2.0,-0.7999999999999998,,2.0,0.4,,-5.0,-1.0,,4.0,-0.39999999999999947,,6,2,6,3,1.95,3.7,4.2,2014-15,H
991.070114459045,982.7379309713334,1.4,,,9,1.4,,,7,2.8,,,0.4,,,10.0,-1.0,2.4,,,0.4,,,8.0,-3.0,25.2,,,7.6,,,91.0,26.0,24.4,,,7.0,,,71.0,24.0,74,74,71,74,73,73,73,73,8.332183487711632,2,0.0,,2.0,0.3999999999999999,,2.0,0.0,,20.0,0.8000000000000007,,2.0,0.5999999999999996,,1,1,-2,1,1.91,3.6,4.5,2014-15,D
1008.7144749573101,1030.6650336575944,2.0,,,13,2.2,,,14,3.4,,,0.6,,,15.0,4.0,3.8,,,-0.2,,,16.0,8.0,26.4,,,8.8,,,114.0,38.0,30.8,,,11.6,,,123.0,43.0,75,74,72,75,83,82,81,82,-21.95055870028432,-1,-0.20000000000000018,,-1.0,-0.3999999999999999,,-4.0,0.8,,-9.0,-4.400000000000002,,-5.0,-2.799999999999999,,-8,-8,-9,-7,6.5,4.5,1.55,2014-15,H
962.9948424076905,991.0751447549181,0.6,,,4,1.4,,,9,2.4,,,0.4,,,4.0,-9.0,3.0,,,0.2,,,16.0,0.0,30.0,,,9.0,,,95.0,24.0,26.8,,,9.0,,,102.0,39.0,71,70,71,70,78,78,78,78,-28.080302347227644,-5,-0.7999999999999999,,-12.0,-0.6000000000000001,,-9.0,0.2,,-7.0,3.1999999999999993,,-15.0,0.0,,-7,-8,-7,-8,4.75,3.75,1.83,2014-15,A
1009.5123437063323,1064.7856624470596,2.0,,,12,2.6,,,22,4.4,,,1.6,,,15.0,3.0,3.2,,,1.2,,,23.0,15.0,27.0,,,9.4,,,111.0,38.0,24.4,,,7.6,,,121.0,48.0,85,80,75,81,82,82,81,83,-55.27331874072729,-10,-0.6000000000000001,,-8.0,1.2000000000000002,,-12.0,0.40000000000000013,,-10.0,2.6000000000000014,,-10.0,1.8000000000000007,,3,-2,-6,-2,2.88,3.6,2.5,2014-15,D
953.8226845751323,989.1390356003391,0.2,,,4,0.6,,,9,3.6,,,1.2,,,6.0,-12.0,2.4,,,0.0,,,4.0,-8.0,27.4,,,9.6,,,111.0,30.0,24.0,,,6.4,,,52.0,13.0,74,74,71,75,72,74,74,75,-35.316351025206814,-5,-0.39999999999999997,,2.0,1.2000000000000002,,-4.0,1.2,,59.0,3.3999999999999986,,17.0,3.1999999999999993,,2,0,-3,0,2.38,3.25,3.4,2014-15,H
1018.83164456819,953.8013032721419,1.6,,1.6,14,0.4,0.4,,4,2.6,,1.6,-0.6,,0.6,15.0,4.0,3.2,0.6,,0.0,-1.2,,5.0,-11.0,21.4,,14.2,7.8,,3.4,141.0,44.0,30.8,13.2,,9.6,3.4,,109.0,27.0,80,80,77,80,71,70,71,70,65.03034129604805,10,1.2000000000000002,,10.0,-0.6000000000000001,,15.0,-0.6,,32.0,-9.400000000000002,,17.0,-1.7999999999999998,,9,10,6,10,1.25,6.5,14.0,2014-15,H
1063.208055494895,964.8356843475785,2.2,,2.2,23,0.8,1.4,,7,2.4,,2.6,0.8,,1.2,24.0,15.0,3.2,1.4,,0.8,0.2,,8.0,-10.0,22.0,,10.4,7.6,,4.4,130.0,52.0,27.0,16.8,,9.4,5.2,,122.0,34.0,82,82,81,83,74,74,71,75,98.37237114731647,16,1.4000000000000001,,16.0,-0.8000000000000003,,25.0,0.0,,8.0,-5.0,,18.0,-1.8000000000000007,,8,8,10,8,1.17,8.5,21.0,2014-15,H
1000.2686838904667,1007.0921205271538,1.4,,1.6,12,0.8,,,13,3.4,,1.8,0.2,,0.6,19.0,2.0,2.4,,,0.8,,,11.0,3.0,28.2,,12.0,9.8,,4.8,117.0,45.0,24.8,,,7.2,,,73.0,30.0,78,78,78,78,77,74,74,75,-6.82343663668712,-1,0.5999999999999999,,8.0,1.0,,-1.0,-0.6000000000000001,,44.0,3.3999999999999986,,15.0,2.6000000000000005,,1,4,4,3,1.75,3.8,5.25,2014-15,D
