Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeStreak,AwayStreak,HC,AC,Season,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR,HomeGD,AwayGD,HomeForm,AwayForm,HomeStreakWeighted,AwayStreakWeighted,HomeGoals,HomeSOT,HomeCorners,AwayGoals,AwaySOT,AwayCorners,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR
2023-09-16,Fulham,Luton,1,0,H,,,6,2,2023,77,77,76,77,72,71,72,72,-6,-7,0.9108,0.7290000000000001,,,,,,,,,77,77,76,77,72,71,72,72
2023-09-16,Man United,Brighton,1,3,A,,,8,1,2023,82,84,82,82,76,78,78,77,-2,4,0.9801000000000002,1.0710000000000002,,,,,,,,,82,84,82,82,76,78,78,77
2023-09-16,Tottenham,Sheffield United,2,1,H,,,15,2,2023,83,82,79,81,69,73,72,72,7,-3,1.2900000000000003,0.7371000000000001,,,,,,,,,83,82,79,81,69,73,72,72
2023-09-16,West Ham,Man City,1,3,A,,,4,11,2023,77,77,77,78,87,87,84,85,5,8,1.3,1.2822,,,,,,,,,77,77,77,78,87,87,84,85
2023-09-17,Bournemouth,Chelsea,0,0,D,,,1,7,2023,74,74,74,74,78,81,79,81,-4,0,0.8388000000000001,0.891,,,,,,,,,74,74,74,74,78,81,79,81
2023-09-17,Everton,Arsenal,0,1,A,,,1,11,2023,79,76,75,77,83,84,81,82,-2,4,0.8019000000000001,1.2969000000000002,,,,,,,,,79,76,75,77,83,84,81,82
2023-09-18,Nott'm Forest,Burnley,1,1,D,,,5,4,2023,76,76,75,76,73,74,74,74,0,-6,0.99,0.81,,,,,,,,,76,76,75,76,73,74,74,74
2023-09-23,Crystal Palace,Fulham,0,0,D,,0.4666666666666667,3,2,2023,75,76,76,76,77,77,76,77,1,-5,1.092,0.9837,,0.4666666666666667,,,,,,,75,76,76,76,77,77,76,77
2023-09-23,Luton,Wolves,1,1,D,,0.2,10,1,2023,72,71,72,72,78,77,75,77,-8,-6,0.6561000000000001,0.7290000000000001,,0.2,,,,,,,72,71,72,72,78,77,75,77
2023-09-23,Man City,Nott'm Forest,2,0,H,,0.4666666666666667,6,6,2023,87,87,84,85,76,76,75,76,10,0,1.4122,0.972,,0.4222222222222222,,,,,,,87,87,84,85,76,76,75,76
2023-09-23,Brentford,Everton,1,3,A,,,1,4,2023,75,76,76,77,79,76,75,77,3,-3,1.0692000000000002,0.7217100000000001,,,,,,,,,75,76,76,77,79,76,75,77
2023-09-23,Burnley,Man United,0,1,A,,0.4,9,5,2023,73,74,74,74,82,84,82,82,-6,-4,0.8280000000000001,0.8820900000000002,,0.5333333333333333,,,,,,,73,74,74,74,82,84,82,82
2023-09-24,Arsenal,Tottenham,2,2,D,0.8666666666666667,0.8666666666666667,11,4,2023,83,84,81,82,83,82,79,81,5,8,1.3770900000000001,1.3637100000000002,0.8666666666666667,0.7777777777777778,,,,,,,83,84,81,82,83,82,79,81
2023-09-24,Brighton,Bournemouth,3,1,H,,0.2,4,4,2023,76,78,78,77,74,74,74,74,6,-4,1.16901,0.8440200000000001,,0.17777777777777778,,,,,,,76,78,78,77,74,74,74,74
2023-09-24,Liverpool,West Ham,3,1,H,,0.6666666666666666,7,4,2023,84,81,84,83,77,77,77,78,4,3,1.181,1.17,,0.7111111111111111,,,,,,,84,81,84,83,77,77,77,78
2023-09-30,Bournemouth,Arsenal,0,4,A,0.13333333333333333,0.7333333333333333,6,6,2023,74,74,74,74,83,84,81,82,-6,5,0.7596180000000001,1.375752,0.1111111111111111,0.7777777777777778,,,,,,,74,74,74,74,83,84,81,82
2023-09-30,Everton,Luton,1,2,A,0.26666666666666666,0.06666666666666667,3,6,2023,79,76,75,77,72,71,72,72,-1,-8,0.8286300000000001,0.6633900000000001,0.13333333333333333,0.022222222222222223,,,,,,,79,76,75,77,72,71,72,72
2023-09-30,Man United,Crystal Palace,0,1,A,0.4,0.5333333333333333,10,4,2023,82,84,82,82,75,76,76,76,-3,1,0.9648900000000001,1.0811700000000002,0.3333333333333333,0.5555555555555556,1.2,6.6,,1.0,3.8,,82,84,82,82,75,76,76,76
2023-09-30,West Ham,Sheffield United,2,0,H,0.6,0.06666666666666667,7,4,2023,77,77,77,78,69,73,72,72,1,-4,1.053,0.66339,0.8,0.044444444444444446,2.0,4.2,,1.0,3.8,,77,77,77,78,69,73,72,72
2023-09-30,Wolves,Man City,2,1,H,0.26666666666666666,1.0,0,6,2023,78,77,75,77,87,87,84,85,-6,12,0.7217100000000001,1.5093999999999999,0.28888888888888886,1.0,1.2,2.4,,3.0,7.6,,78,77,75,77,87,87,84,85
